id,first_name,last_name,full_name,previous_names,date_of_birth,date_of_death,id_number,phone_number,email,address,city,region,country,postal_code,risk_level,risk_score,case_count,case_types,court_records,occupation,employer,organization,job_title,marital_status,spouse_name,children_count,emergency_contact,emergency_phone,nationality,gender,education_level,languages,is_verified,verification_date,verification_notes,last_searched,search_count,created_at,updated_at,created_by,updated_by,status,notes
39233,ADU,KWASI,ADU KWASI,['Heidi Schaefer'],1962-07-29 00:00:00,,,+2330554435307,adu.kwasi@copeland.net,"5118 Guerrero Ferry, East Brianside, MO 35783",Wa,GAR,,,Low,0.0,1,['Mixed'],,Business Owner,,,,,,,,,,,,['Twi'],True,,,2025-09-28 07:29:35.480486,97,2025-09-12 07:26:27+00:00,2025-09-28 07:29:35.480486+00:00,,,ACTIVE,Name extracted from case titles. Business Owner with 1 languages.
41671,ANYASS,JIBRIL,ANYASS JIBRIL,['Steven Saunders'],2000-06-29 00:00:00,,,+2330564460090,anyass.jibril@best.org,"703 Kendra Camp Apt. 420, West Gregorytown, SC 26608",Wa,ER,,,Medium,48.0,1,['Mixed'],,Consultant,,,,,,,,,,,,"['Fante', 'Ga', 'English']",True,,,2025-09-28 07:29:38.889404,93,2025-09-12 07:26:27+00:00,2025-09-28 07:29:38.889404+00:00,,,ACTIVE,Name extracted from case titles. Consultant with 3 languages.
39466,ABUASUAPANIN,ACKOM,ABUASUAPANIN KOFI ACKOM,,1976-04-05 00:00:00,,,+2330503387227,abuasuapanin.ackom@schmidt-dorsey.com,"11029 Rivera Hollow, Josephside, MT 10499",Wa,VR,,,Low,17.0,1,['Mixed'],,Farmer,,,,,,,,,,,,"['Twi', 'Dagbani']",True,,,2025-09-28 07:30:34.815432,254,2025-09-12 07:26:27+00:00,2025-09-28 07:30:34.815432+00:00,,,ACTIVE,Name extracted from case titles. Farmer with 2 languages.
39579,ABOAGYE,COSTA,ABOAGYE da COSTA,,1984-07-18 00:00:00,,,+2330248942529,aboagye.costa@avery.com,"68907 Smith Plain Apt. 597, Collinsfort, VA 51362",Kumasi,ER,,,Low,18.0,2,['Mixed'],,Retired,,,,,,,,,,,,"['Fante', 'Ga']",True,,,2025-09-28 07:30:34.815432,190,2025-09-12 07:26:27+00:00,2025-09-28 07:30:34.815432+00:00,,,ACTIVE,Name extracted from case titles. Retired with 2 languages.
39874,ABRAHAM,SALLOUM,ABRAHAM ALIAS SALLOUM,,1985-12-28 00:00:00,,,+2330274447654,abraham.salloum@brennan.info,"19421 Francis Manors, Douglasberg, AS 97786",Koforidua,NR,,,Low,0.0,1,['Mixed'],,Engineer,,,,,,,,,,,,"['Ga', 'Dagbani', 'Akan']",True,,,2025-09-28 07:30:34.815432,132,2025-09-12 07:26:27+00:00,2025-09-28 07:30:34.815432+00:00,,,ACTIVE,Name extracted from case titles. Engineer with 3 languages.
39984,ABBEY,WE,ABBEY WE,['Lucas Osborne'],1953-06-14 00:00:00,,,+2330594236702,abbey.we@guerrero-moss.com,"5687 Sheena Canyon, Lake Nicole, MO 77717",Koforidua,WR,,,Medium,41.0,1,['Mixed'],,Doctor,,,,,,,,,,,,"['Fante', 'Dagbani', 'Ewe']",True,,,2025-09-30 08:04:47.054672,525,2025-09-12 07:26:27+00:00,2025-09-30 08:04:47.054672+00:00,,,ACTIVE,Name extracted from case titles. Doctor with 3 languages.
40104,ABA,AMOKUMAH,ABA AMOKUMAH,,1959-06-21 00:00:00,,,+2330201382013,aba.amokumah@berry-evans.org,"6820 Sarah Island, Ashleechester, WV 77843",Ho,ASR,,,Medium,39.0,1,['Mixed'],,Business Owner,,,,,,,,,,,,['Twi'],True,,,2025-09-30 08:04:47.054672,577,2025-09-12 07:26:27+00:00,2025-09-30 08:04:47.054672+00:00,,,ACTIVE,Name extracted from case titles. Business Owner with 1 languages.
42274,MAHAMA,OTHER,MAHAMA OTHER,,1967-01-10 00:00:00,,,+2330578234914,mahama.other@lawrence-berry.org,"144 Harrell Radial Apt. 342, West Aaronburgh, IL 85967",Koforidua,CR,,,,,,"['Civil', 'Criminal', 'Commercial']",,Engineer,,,,,,,,,,,,['Twi'],True,,,2025-09-28 07:27:05.666699,3561,2025-09-12 07:26:28+00:00,2025-09-28 07:27:05.666699+00:00,,,ACTIVE,Name extracted from case titles. Engineer with 1 languages.
39846,ABDUL,RAHUF,ABDUL RAHUF,,1989-03-26 00:00:00,,,+2330272854734,abdul.rahuf@jackson-weber.net,"49342 Fernandez Gateway Suite 199, North Mario, KS 10632",Accra,WR,,,Low,11.0,1,['Mixed'],,Farmer,,,,,,,,,,,,"['Fante', 'Ewe']",True,,,2025-09-28 07:29:34.215005,143,2025-09-12 07:26:27+00:00,2025-09-28 07:29:34.215005+00:00,,,ACTIVE,Name extracted from case titles. Farmer with 2 languages.
40162,ABUDULAI,MOHAMMED,ABUDULAI MOHAMMED,['Troy Goodman'],1952-01-28 00:00:00,,,+2330555955627,abudulai.mohammed@townsend.com,"844 Stout Prairie, Sanfordview, UT 96279",Wa,BR,,,Medium,29.0,1,['Mixed'],,Farmer,,,,,,,,,,,,"['Ga', 'English']",True,,,2025-09-28 07:29:34.930478,100,2025-09-12 07:26:27+00:00,2025-09-28 07:29:34.930478+00:00,,,ACTIVE,Name extracted from case titles. Farmer with 2 languages.
40222,ABUSUAPANYIN,OTOPA,ABUSUAPANYIN KOFI OTOPA,,1968-10-20 00:00:00,,,+2330578968517,abusuapanyin.otopa@griffin.com,"Unit 9153 Box 2522, DPO AA 59539",Accra,UWR,,,Medium,41.0,1,['Mixed'],,Artist,,,,,,,,,,,,"['Fante', 'Twi', 'Dagbani']",True,,,2025-09-28 07:29:34.930478,199,2025-09-12 07:26:27+00:00,2025-09-28 07:29:34.930478+00:00,,,ACTIVE,Name extracted from case titles. Artist with 3 languages.
40239,ABUSUAPANIN,AFRAM,ABUSUAPANIN OWUSU AFRAM,['James Brennan'],1968-11-06 00:00:00,,,+2330271141596,abusuapanin.afram@sutton-pacheco.org,"8497 Proctor Freeway Suite 840, Natalieview, NY 18181",Kumasi,UWR,,,Low,2.0,1,['Mixed'],,Politician,,,,,,,,,,,,['Ga'],True,,,2025-09-28 07:29:34.930478,262,2025-09-12 07:26:27+00:00,2025-09-28 07:29:34.930478+00:00,,,ACTIVE,Name extracted from case titles. Politician with 1 languages.
40051,ADJOA,WANGAR,ADJOA WANGAR,,1987-04-21 00:00:00,,,+2330578215693,adjoa.wangar@carr.biz,"368 Munoz Meadow Suite 186, Joanshire, NY 85094",Kumasi,BR,,,Low,10.0,1,['Mixed'],,Artist,,,,,,,,,,,,['Ewe'],True,,,2025-09-28 07:29:35.215274,99,2025-09-12 07:26:27+00:00,2025-09-28 07:29:35.215274+00:00,,,ACTIVE,Name extracted from case titles. Artist with 1 languages.
40070,ADIKA,OTHERS,ADIKA OTHERS,,1951-03-14 00:00:00,,,+2330279010165,adika.others@johnson.org,"278 David Plain, South Jeffreychester, LA 28867",Cape Coast,UER,,,,,,"['Civil', 'Criminal']",,Lawyer,,,,,,,,,,,,['English'],True,,,2025-09-28 07:29:35.215274,103,2025-09-12 07:26:27+00:00,2025-09-28 07:29:35.215274+00:00,,,ACTIVE,Name extracted from case titles. Lawyer with 1 languages.
40114,ADDAE,AIKINS,ADDAE AIKINS,,1950-12-02 00:00:00,,,+2330559856932,addae.aikins@norton.biz,"5600 Stokes Mountain, Taylorberg, ID 09564",Cape Coast,ASR,,,Medium,24.0,2,['Mixed'],,Judge,,,,,,,,,,,,"['Ewe', 'Ga', 'Dagbani']",True,,,2025-09-28 07:29:35.215274,99,2025-09-12 07:26:27+00:00,2025-09-28 07:29:35.215274+00:00,,,ACTIVE,Name extracted from case titles. Judge with 3 languages.
40274,ADJOA,BADUA,ADJOA BADUA,,1990-05-19 00:00:00,,,+2330505660377,adjoa.badua@massey.com,"32242 Jeffrey Plain Apt. 090, North Dorisfort, CT 19656",Sunyani,CR,,,Medium,20.0,2,['Mixed'],,Consultant,,,,,,,,,,,,"['Fante', 'Akan']",True,,,2025-09-28 07:29:35.215274,99,2025-09-12 07:26:27+00:00,2025-09-28 07:29:35.215274+00:00,,,ACTIVE,Name extracted from case titles. Consultant with 2 languages.
40246,AGNES,AMPOFOWA,AGNES NURO AMPOFOWA,,1955-12-14 00:00:00,,,+2330501647701,agnes.ampofowa@brady.info,"418 Gibson Villages, Lamton, AZ 74432",Accra,NR,,,Medium,43.0,1,['Mixed'],,Teacher,,,,,,,,,,,,['Dagbani'],True,,,2025-09-28 07:29:36.027893,99,2025-09-12 07:26:27+00:00,2025-09-28 07:29:36.027893+00:00,,,ACTIVE,Name extracted from case titles. Teacher with 1 languages.
40248,AGYA,OWUSU,AGYA OWUSU,,1991-12-06 00:00:00,,,+2330593577473,agya.owusu@johnson.org,"650 Jose Ferry Suite 611, Wilsonside, SC 48528",Takoradi,NR,,,Medium,48.0,1,['Mixed'],,Accountant,,,,,,,,,,,,['Ewe'],True,,,2025-09-28 07:29:36.027893,243,2025-09-12 07:26:27+00:00,2025-09-28 07:29:36.027893+00:00,,,ACTIVE,Name extracted from case titles. Accountant with 1 languages.
40574,AHOMKA,BEVERAGES,AHOMKA BEVERAGES,,1999-03-30 00:00:00,,,+233020878668,ahomka.beverages@martinez.biz,"83596 Maria Harbor, Port Tammy, GA 98078",Tamale,CR,,,Medium,45.0,1,['Mixed'],,Judge,,,,,,,,,,,,"['English', 'Hausa']",True,,,2025-09-28 07:29:36.230480,97,2025-09-12 07:26:27+00:00,2025-09-28 07:29:36.230480+00:00,,,ACTIVE,Name extracted from case titles. Judge with 2 languages.
39618,ABDUL,HAMZA,ABDUL HALIK HAMZA,,1953-08-16 00:00:00,,,+2330574978306,abdul.hamza@jones.info,"9382 Rice Curve Suite 923, Lake Patrickfort, SC 65419",Kumasi,CR,,,Medium,40.0,1,['Mixed'],,Retired,,,,,,,,,,,,['Ga'],True,,,2025-09-28 07:35:16.539825,145,2025-09-12 07:26:27+00:00,2025-09-28 07:35:16.539825+00:00,,,ACTIVE,Name extracted from case titles. Retired with 1 languages.
45000,ALLIANCE,MARINE,ALLIANCE MARINE,['Shelby Rodriguez'],1968-10-08 00:00:00,,,+2330502072827,alliance.marine@baird-scott.com,"USCGC Newton, FPO AP 79791",Takoradi,UER,,,,,,"['Civil', 'Criminal', 'Commercial']",,Student,,,,,,,,,,,,['Akan'],True,,,2025-09-28 07:29:37.378480,95,2025-09-12 07:26:28+00:00,2025-09-28 07:29:37.378480+00:00,,,ACTIVE,Name extracted from case titles. Student with 1 languages.
45173,ALICE,DONKOR,ALICE ANKOMA DONKOR,,1993-12-04 00:00:00,,,+2330551920464,alice.donkor@allen.com,"00629 Johnathan Squares, Emilyland, OH 22794",Kumasi,ER,,,,,,"['Civil', 'Criminal']",,Farmer,,,,,,,,,,,,"['Akan', 'Fante']",True,,,2025-09-28 07:29:37.378480,95,2025-09-12 07:26:28+00:00,2025-09-28 07:29:37.378480+00:00,,,ACTIVE,Name extracted from case titles. Farmer with 2 languages.
39340,ASHANTI,HOMETOUCH,ASHANTI HOMETOUCH,,2002-01-16 00:00:00,,,+2330286035929,ashanti.hometouch@lopez-pittman.com,"85397 Anthony Greens, East Crystaltown, SC 48907",Sunyani,GAR,,,,,,"['Civil', 'Criminal', 'Commercial']",,Judge,,,,,,,,,,,,['Twi'],True,,,2025-09-28 07:29:39.075623,88,2025-09-12 07:26:27+00:00,2025-09-28 07:29:39.075623+00:00,,,ACTIVE,Name extracted from case titles. Judge with 1 languages.
39329,AUGUSTINE,QUANSAH,AUGUSTINE KOJO QUANSAH,,1994-12-11 00:00:00,,,+2330277285027,augustine.quansah@clay.com,"93378 Torres Burgs, North Kellymouth, MN 83863",Takoradi,CR,,,Medium,27.0,1,['Mixed'],,Unemployed,,,,,,,,,,,,"['Akan', 'Ewe']",True,,,2025-09-28 07:29:39.859343,84,2025-09-12 07:26:27+00:00,2025-09-28 07:29:39.859343+00:00,,,ACTIVE,Name extracted from case titles. Unemployed with 2 languages.
41132,ABIGAIL,ZUTAH,ABIGAIL ADDISON ZUTAH,,1966-12-22 00:00:00,,,+2330203213272,abigail.zutah@montgomery-lambert.com,"01465 Paul Common Suite 622, North Joshuaview, IA 56257",Takoradi,BR,,,Low,14.0,1,['Mixed'],,Doctor,,,,,,,,,,,,['Akan'],True,,,2025-09-28 07:30:34.815432,134,2025-09-12 07:26:27+00:00,2025-09-28 07:30:34.815432+00:00,,,ACTIVE,Name extracted from case titles. Doctor with 1 languages.
